category,commodity,unit,usdprice,is_war,month,day
0,22,12,9.52,0,1,15
0,23,12,17.86,0,1,15
0,30,12,4.05,0,1,15
1,9,1,33.81,0,1,15
1,13,12,162.86,0,1,15
1,14,12,28.57,0,1,15
2,5,5,15.24,0,1,15
2,15,3,3.33,0,1,15
3,27,7,47.62,0,1,15
3,29,12,17.86,0,1,15
4,0,8,29.76,0,1,15
4,25,6,14.76,0,1,15
5,16,10,13.81,0,1,15
5,17,10,13.81,0,1,15
6,2,11,42.86,0,1,15
6,6,11,33.33,0,1,15
6,12,11,40.45,0,1,15
6,21,11,33.33,0,1,15
7,7,12,10.48,0,1,15
7,8,12,10.71,0,1,15
7,18,12,7.86,0,1,15
7,19,12,8.57,0,1,15
0,20,7,5.71,0,2,15
0,22,12,9.52,0,2,15
0,23,12,21.43,0,2,15
0,30,12,4.29,0,2,15
1,9,1,33.81,0,2,15
1,14,12,28.57,0,2,15
2,5,5,15.24,0,2,15
2,15,3,3.33,0,2,15
3,24,7,2.38,0,2,15
3,26,12,12.38,0,2,15
3,27,7,47.62,0,2,15
3,29,12,17.86,0,2,15
4,3,9,12.76,0,2,15
4,11,0,4.29,0,2,15
4,25,6,14.76,0,2,15
5,17,10,13.81,0,2,15
6,2,11,44.05,0,2,15
6,6,11,34.52,0,2,15
6,12,11,42.86,0,2,15
6,21,11,39.29,0,2,15
7,1,12,15.48,0,2,15
7,7,12,11.9,0,2,15
7,19,12,8.57,0,2,15
7,28,12,11.67,0,2,15
0,22,12,10.71,0,3,15
0,23,12,22.62,0,3,15
0,30,12,4.64,0,3,15
1,9,1,33.81,0,3,15
1,13,12,164.29,0,3,15
1,14,12,30.95,0,3,15
2,5,5,15.24,0,3,15
2,15,3,3.33,0,3,15
3,26,12,12.38,0,3,15
3,27,7,47.62,0,3,15
3,29,12,17.86,0,3,15
4,0,8,28.57,0,3,15
5,17,10,13.81,0,3,15
6,2,11,47.62,0,3,15
6,6,11,38.1,0,3,15
6,21,11,39.29,0,3,15
7,18,12,7.86,0,3,15
7,19,12,8.57,0,3,15
7,28,12,11.67,0,3,15
0,20,7,5.71,0,4,15
0,22,12,11.9,0,4,15
0,23,12,27.38,0,4,15
0,30,12,4.64,0,4,15
1,9,1,35.71,0,4,15
1,14,12,30.95,0,4,15
2,15,3,3.33,0,4,15
2,31,12,12.07,0,4,15
3,24,7,2.38,0,4,15
3,26,12,12.38,0,4,15
3,29,12,17.86,0,4,15
4,3,9,14.29,0,4,15
4,11,0,4.76,0,4,15
5,17,10,13.81,0,4,15
6,2,11,47.62,0,4,15
6,6,11,42.86,0,4,15
6,12,11,44.05,0,4,15
7,1,12,16.67,0,4,15
7,8,12,13.1,0,4,15
7,19,12,8.57,0,4,15
7,28,12,11.67,0,4,15
0,4,4,0.6,0,5,15
0,20,7,7.14,0,5,15
0,22,12,11.9,0,5,15
0,23,12,28.57,0,5,15
0,30,12,4.64,0,5,15
1,9,1,35.71,0,5,15
1,13,12,176.18,0,5,15
1,14,12,30.95,0,5,15
2,5,5,15.24,0,5,15
2,15,3,4.05,0,5,15
3,26,12,12.38,0,5,15
3,29,12,17.86,0,5,15
4,11,0,5.24,0,5,15
5,17,10,13.81,0,5,15
6,2,11,57.14,0,5,15
7,1,12,17.86,0,5,15
7,18,12,7.86,0,5,15
7,19,12,8.57,0,5,15
0,4,4,0.6,0,6,15
0,20,7,7.14,0,6,15
0,22,12,11.9,0,6,15
0,23,12,38.09,0,6,15
0,30,12,5.59,0,6,15
1,14,12,30.95,0,6,15
2,5,5,15.24,0,6,15
3,24,7,2.62,0,6,15
3,26,12,15.48,0,6,15
3,27,7,71.42,0,6,15
3,29,12,19.05,0,6,15
4,3,9,16.62,0,6,15
4,11,0,6.9,0,6,15
4,25,6,18.81,0,6,15
5,17,10,15.48,0,6,15
6,2,11,57.14,0,6,15
6,12,11,47.62,0,6,15
6,21,11,52.38,0,6,15
7,1,12,23.81,0,6,15
7,7,12,14.28,0,6,15
7,18,12,8.33,0,6,15
7,28,12,13.33,0,6,15
0,20,7,7.14,0,7,15
0,22,12,11.9,0,7,15
0,23,12,47.62,0,7,15
1,9,1,40.47,0,7,15
1,10,2,23.33,0,7,15
1,14,12,30.95,0,7,15
2,15,3,4.05,0,7,15
2,31,12,25.71,0,7,15
3,26,12,15.48,0,7,15
3,27,7,71.42,0,7,15
3,29,12,19.05,0,7,15
4,3,9,16.62,0,7,15
5,17,10,17.28,0,7,15
6,6,11,47.62,0,7,15
6,12,11,47.62,0,7,15
6,21,11,52.38,0,7,15
7,8,12,13.09,0,7,15
7,18,12,8.33,0,7,15
7,19,12,8.57,0,7,15
7,28,12,13.33,0,7,15
0,4,4,0.95,0,8,15
0,20,7,7.14,0,8,15
0,22,12,11.9,0,8,15
0,23,12,47.62,0,8,15
0,30,12,5.59,0,8,15
1,9,1,38.09,0,8,15
1,14,12,30.95,0,8,15
2,5,5,20.71,0,8,15
2,15,3,4.05,0,8,15
3,26,12,15.48,0,8,15
3,27,7,71.42,0,8,15
3,29,12,19.05,0,8,15
4,0,8,44.04,0,8,15
4,11,0,6.9,0,8,15
4,25,6,20.24,0,8,15
5,17,10,17.28,0,8,15
6,2,11,66.66,0,8,15
6,6,11,47.62,0,8,15
6,21,11,52.38,0,8,15
7,1,12,23.81,0,8,15
7,7,12,14.28,0,8,15
7,18,12,8.33,0,8,15
7,19,12,8.57,0,8,15
0,4,4,0.95,0,9,15
0,20,7,7.61,0,9,15
0,22,12,11.89,0,9,15
0,23,12,52.32,0,9,15
1,9,1,38.05,0,9,15
1,10,2,23.31,0,9,15
1,14,12,35.67,0,9,15
2,5,5,20.69,0,9,15
2,15,3,4.04,0,9,15
2,31,12,25.68,0,9,15
3,26,12,15.46,0,9,15
3,27,7,71.34,0,9,15
3,29,12,19.02,0,9,15
4,0,8,35.67,0,9,15
4,3,9,18.98,0,9,15
4,25,6,20.21,0,9,15
5,17,10,17.27,0,9,15
6,2,11,71.34,0,9,15
6,6,11,52.32,0,9,15
6,12,11,52.32,0,9,15
6,21,11,59.45,0,9,15
7,1,12,28.54,0,9,15
7,7,12,16.65,0,9,15
7,18,12,8.32,0,9,15
7,19,12,10.7,0,9,15
7,28,12,9.51,0,9,15
0,20,7,8.08,0,10,15
0,23,12,76.08,0,10,15
0,30,12,5.59,0,10,15
1,9,1,38.04,0,10,15
1,10,2,24.25,0,10,15
1,14,12,42.79,0,10,15
2,5,5,20.68,0,10,15
2,15,3,4.28,0,10,15
3,24,7,4.04,0,10,15
3,27,7,71.32,0,10,15
4,0,8,35.66,0,10,15
4,3,9,18.97,0,10,15
4,25,6,20.21,0,10,15
5,16,10,17.26,0,10,15
5,17,10,17.26,0,10,15
6,2,11,76.08,0,10,15
6,12,11,52.3,0,10,15
6,21,11,76.08,0,10,15
7,1,12,35.66,0,10,15
7,8,12,13.08,0,10,15
7,19,12,10.7,0,10,15
0,22,12,13.08,0,11,15
0,30,12,5.59,0,11,15
1,9,1,38.05,0,11,15
2,5,5,20.69,0,11,15
2,15,3,5.23,0,11,15
2,31,12,25.68,0,11,15
3,26,12,15.46,0,11,15
3,27,7,71.34,0,11,15
4,0,8,35.67,0,11,15
4,3,9,19.5,0,11,15
4,11,0,6.9,0,11,15
4,25,6,20.21,0,11,15
5,16,10,17.27,0,11,15
6,2,11,95.12,0,11,15
6,12,11,52.32,0,11,15
6,21,11,76.1,0,11,15
7,7,12,16.65,0,11,15
7,18,12,9.51,0,11,15
7,28,12,14.27,0,11,15
0,4,4,0.95,0,12,15
0,22,12,13.08,0,12,15
0,23,12,76.1,0,12,15
0,30,12,5.59,0,12,15
1,9,1,59.45,0,12,15
1,14,12,47.56,0,12,15
2,15,3,5.47,0,12,15
2,31,12,25.68,0,12,15
3,24,7,4.04,0,12,15
3,26,12,15.46,0,12,15
3,27,7,71.34,0,12,15
3,29,12,22.59,0,12,15
4,0,8,35.67,0,12,15
4,3,9,19.74,0,12,15
4,11,0,6.9,0,12,15
4,25,6,20.21,0,12,15
5,16,10,17.27,0,12,15
5,17,10,17.27,0,12,15
6,2,11,95.12,0,12,15
6,12,11,52.32,0,12,15
6,21,11,76.1,0,12,15
7,1,12,42.81,0,12,15
7,7,12,16.65,0,12,15
7,28,12,16.65,0,12,15
0,4,4,0.042,0,1,15
0,23,12,3.29,0,1,15
0,30,12,0.49,0,1,15
1,10,2,1.3,0,1,15
1,13,12,14.08,0,1,15
1,14,12,2.16,0,1,15
2,5,5,1.13,0,1,15
2,15,3,0.24,0,1,15
3,26,12,0.61,0,1,15
3,27,7,2.82,0,1,15
4,0,8,1.41,0,1,15
4,3,9,0.78,0,1,15
4,11,0,0.27,0,1,15
4,25,6,1.08,0,1,15
6,2,11,4.04,0,1,15
6,21,11,3.29,0,1,15
7,1,12,1.69,0,1,15
7,7,12,0.66,0,1,15
7,8,12,0.61,0,1,15
7,18,12,0.42,0,1,15
7,19,12,0.52,0,1,15
7,28,12,0.66,0,1,15
0,4,4,0.035,0,2,15
0,20,7,0.27,0,2,15
0,22,12,0.43,0,2,15
0,23,12,2.74,0,2,15
0,30,12,0.41,0,2,15
1,9,1,2.43,0,2,15
2,5,5,1.24,0,2,15
2,31,12,0.95,0,2,15
3,27,7,3.13,0,2,15
3,29,12,0.94,0,2,15
4,3,9,0.65,0,2,15
4,11,0,0.39,0,2,15
4,25,6,0.98,0,2,15
5,16,10,1.72,0,2,15
5,17,10,1.72,0,2,15
6,2,11,3.6,0,2,15
6,6,11,2.74,0,2,15
7,1,12,1.41,0,2,15
7,8,12,0.51,0,2,15
7,18,12,0.35,0,2,15
7,19,12,0.47,0,2,15
0,4,4,0.034,1,3,15
0,20,7,0.35,1,3,15
0,22,12,0.63,1,3,15
0,23,12,2.65,1,3,15
0,30,12,0.39,1,3,15
1,9,1,2.35,1,3,15
1,10,2,1.05,1,3,15
1,13,12,12.35,1,3,15
3,26,12,0.54,1,3,15
3,27,7,3.03,1,3,15
4,0,8,1.14,1,3,15
4,3,9,0.76,1,3,15
4,11,0,0.4,1,3,15
4,25,6,1.08,1,3,15
5,16,10,1.69,1,3,15
5,17,10,1.69,1,3,15
6,2,11,3.49,1,3,15
6,12,11,2.65,1,3,15
6,21,11,2.8,1,3,15
7,1,12,1.52,1,3,15
7,7,12,0.63,1,3,15
7,8,12,0.72,1,3,15
7,19,12,0.48,1,3,15
0,4,4,4.32,1,4,15
0,20,7,51.89,1,4,15
0,22,12,81.68,1,4,15
0,30,12,49.97,1,4,15
2,31,12,116.27,1,4,15
3,24,7,29.67,1,4,15
3,29,12,115.31,1,4,15
4,0,8,144.13,1,4,15
4,11,0,51.89,1,4,15
7,1,12,192.18,1,4,15
7,8,12,96.09,1,4,15
7,18,12,67.26,1,4,15
7,19,12,76.87,1,4,15
7,28,12,86.48,1,4,15
